Country,Officiallanguage,Count,lat,lon
Sri Lanka,Sinhala,1,-20,-135
Sri Lanka,Tamil,1,-20,-135
Sudan,Arabic,1,-20,-135
Sudan,English,1,-20,-135
Suriname,Dutch,1,-20,-135
Sweden,Swedish,1,-20,-135
Switzerland,French,1,-20,-135
Switzerland,German ,1,-20,-135
Switzerland,Italian ,1,-20,-135
Switzerland,Romansh,1,-20,-135
Syria,Arabic,1,-20,-135
Taiwan,Mandarin,1,-20,-135
Tajikistan,Tajik,1,-20,-135
United Republic of Tanzania,Swahili,1,-20,-135
United Republic of Tanzania,English,1,-20,-135
Thailand,Central Thai,1,-20,-135
Togo,French,1,-20,-135
Tokelau,English,1,-20,-135
Tokelau,Tokelauan,1,-20,-135
Tonga,English,1,-20,-135
Tonga,Tongan,1,-20,-135
Transnistria,Moldovan,1,-20,-135
Transnistria,Russian,1,-20,-135
Transnistria,Ukrainian,1,-20,-135
Trinidad and Tobago,English,1,-20,-135
Tunisia,Arabic,1,-20,-135
Turkey,Turkish,1,-20,-135
Turkmenistan,Turkmen,1,-20,-135
Tuvalu,Tuvaluan,1,-20,-135
Tuvalu,English,1,-20,-135
Uganda,English,1,-20,-135
Uganda,Swahili,1,-20,-135
Ukraine,Ukrainian,1,-20,-135
United Arab Emirates,Arabic,1,-20,-135
United Kingdom,English,1,-20,-135
United States of America,English,1,-20,-135
Uruguay,Spanish,1,-20,-135
Uruguay,Uruguayan Sign Language,1,-20,-135
Uzbekistan,Uzbek,1,-20,-135
Vanuatu,English,1,-20,-135
Vanuatu,French,1,-20,-135
Vanuatu,Bislama,1,-20,-135
Vatican City,Italian,1,-20,-135
Venezuela,Spanish,1,-20,-135
Venezuela,Venezuelan Sign Language,1,-20,-135
Vietnam,Vietnamese,1,-20,-135
Yemen,Arabic,1,-20,-135
Zambia,English,1,-20,-135
Zimbabwe,Chewa,1,-20,-135
Zimbabwe,Chibarwe,1,-20,-135
Zimbabwe,English,1,-20,-135
Zimbabwe,Kalanga,1,-20,-135
Zimbabwe,Khoisan,1,-20,-135
Zimbabwe,Nambya,1,-20,-135
Zimbabwe,Ndau,1,-20,-135
Zimbabwe,Ndebele,1,-20,-135
Zimbabwe,Shangani,1,-20,-135
Zimbabwe,Shona,1,-20,-135
Zimbabwe,Sotho,1,-20,-135
Zimbabwe,Tonga,1,-20,-135
Zimbabwe,Tswana,1,-20,-135
Zimbabwe,Venda,1,-20,-135
Zimbabwe,Xhosa,1,-20,-135
